p_layers,n_runs,mean_start_gap,mean_end_gap,mean_delta_gap,mean_slope_gap,mean_max_gap,max_max_gap
5,2,0.867102394104009,12.559691607666018,11.692589213562009,2.6516858169555655,13.767607534790038,17.51011842041015
3,3,1.276426693216962,4.80162251485189,3.5251958216349286,1.1548737167358396,5.135493404134114,5.670523114013676
7,3,0.44922522786458785,1.7388045817057314,1.2895793538411435,0.31551995544433514,2.378092792765301,2.833988931274419
11,2,0.6094809539794923,1.757710726928707,1.1482297729492146,0.3697065101623529,2.1509135803222676,2.690886923217775
9,2,1.346615788269041,1.3446355957031244,-0.0019801925659166386,-0.056698023376465435,2.273471154785156,2.5426153015136777
