step_order,used_step,n_runs,mean_pps,mean_sample,mean_abs_gap,median_abs_gap,max_abs_gap
0,0,12,95.66542744636536,96.07517916666666,0.9019461696624779,1.0527679626464845,1.8920975433349554
50,50,12,98.10259675979614,97.10059166666667,1.72981524632772,1.105796066284178,6.496203652954108
100,100,12,97.7818733851115,96.03579166666667,2.494002437337239,1.2949282897949175,10.892738159179686
150,150,12,98.49203523000081,95.84335833333334,3.6599560806274405,2.3476069656372047,17.51011842041015
200,final,12,98.82472085952759,95.3355125,4.245446429189047,2.568803521728512,15.094286566162111
