run_name,graph_index,p_layers,target_step,used_step,step_order,pps_expected_cut,sample_expected_cut,abs_gap,rel_gap,sampling_json
qaoa_pps_q30_g01_p07_wmyz_mw1000000000,1,7,50,50,50,97.8866958618164,98.6299,0.7432041381836001,0.007592493868960069,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p07_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g02_p07_wmyz_mw1000000000,2,7,50,50,50,97.52709197998047,97.1405,0.3865919799804658,0.003963944501286084,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p07_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g03_p07_wmyz_mw1000000000,3,7,50,50,50,97.83609580993652,96.68865,1.147445809936528,0.011728246108324264,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p07_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g01_p09_wmyz_mw1000000000,1,9,50,50,50,99.06895065307617,97.9384,1.1305506530761704,0.011411755606811467,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p09_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g02_p09_wmyz_mw1000000000,2,9,50,50,50,99.22853469848633,101.77115,2.5426153015136777,0.02562383198784113,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p09_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g01_p11_wmyz_mw1000000000,1,11,50,50,50,100.10810852050781,101.18915,1.0810414794921854,0.01079874043640258,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p11_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g02_p11_wmyz_mw1000000000,2,11,50,50,50,100.06981658935547,100.00335,0.06646658935547123,0.0006642021702530167,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p11_wmyz_mw1000000000/step_000050_sampling.json
qaoa_pps_q30_g01_p03_wmyz_mw1000000000,1,3,100,100,100,95.6091480255127,94.2582,1.350948025512693,0.014129903397446877,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p03_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g02_p03_wmyz_mw1000000000,2,3,100,100,100,97.85447311401367,92.18395,5.670523114013676,0.057948532484628994,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p03_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g03_p03_wmyz_mw1000000000,3,3,100,100,100,97.0155029296875,92.41605,4.5994529296875015,0.04740946334134844,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p03_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g01_p05_wmyz_mw1000000000,1,5,100,100,100,96.43084144592285,97.66975,1.2389085540771418,0.012847638115570168,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p05_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g03_p05_wmyz_mw1000000000,3,5,100,100,100,96.77848815917969,85.88575,10.892738159179686,0.11255329946117247,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p05_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g01_p07_wmyz_mw1000000000,1,7,100,100,100,96.2462043762207,97.30275,1.0565456237793,0.010977530289395371,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p07_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g02_p07_wmyz_mw1000000000,2,7,100,100,100,97.75170516967773,97.2457,0.506005169677735,0.005176433176274619,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p07_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g03_p07_wmyz_mw1000000000,3,7,100,100,100,97.76390266418457,97.49675,0.2671526641845645,0.0027326309292523246,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p07_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g01_p09_wmyz_mw1000000000,1,9,100,100,100,99.21625709533691,99.13595,0.08030709533692004,0.0008094146835205942,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p09_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g02_p09_wmyz_mw1000000000,2,9,100,100,100,98.67058753967285,98.20815,0.4624375396728482,0.004686680714117712,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p09_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g01_p11_wmyz_mw1000000000,1,11,100,100,100,100.45804023742676,98.8471,1.6109402374267603,0.01603595126501967,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p11_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g02_p11_wmyz_mw1000000000,2,11,100,100,100,99.58732986450195,101.7794,2.1920701354980423,0.022011536392034636,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p11_wmyz_mw1000000000/step_000100_sampling.json
qaoa_pps_q30_g01_p03_wmyz_mw1000000000,1,3,150,150,150,96.91722869873047,92.44745,4.469778698730465,0.04611954715115596,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p03_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g02_p03_wmyz_mw1000000000,2,3,150,150,150,97.62401962280273,92.02645,5.597569622802737,0.05733803672938779,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p03_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g03_p03_wmyz_mw1000000000,3,3,150,150,150,97.2045783996582,91.9384,5.266178399658202,0.05417623826324542,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p03_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g01_p05_wmyz_mw1000000000,1,5,150,150,150,96.57711791992188,96.0025,0.5746179199218773,0.005949835036476538,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p05_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g03_p05_wmyz_mw1000000000,3,5,150,150,150,101.24356842041016,83.73345,17.51011842041015,0.17295042730714544,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p05_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g01_p07_wmyz_mw1000000000,1,7,150,150,150,97.88020324707031,97.5334,0.3468032470703122,0.0035431398338528937,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p07_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g02_p07_wmyz_mw1000000000,2,7,150,150,150,97.71111106872559,100.5451,2.833988931274419,0.029003753004928162,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p07_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g03_p07_wmyz_mw1000000000,3,7,150,150,150,98.19972229003906,97.37515,0.8245722900390575,0.008396890243779218,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p07_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g01_p09_wmyz_mw1000000000,1,9,150,150,150,98.71127700805664,96.70695,2.0043270080566344,0.02030494456973791,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p09_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g02_p09_wmyz_mw1000000000,2,9,150,150,150,99.17155075073242,99.71435,0.5427992492675742,0.005473336306214465,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p09_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g01_p11_wmyz_mw1000000000,1,11,150,150,150,100.35103225708008,99.0932,1.2578322570800822,0.012534323053675795,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p11_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g02_p11_wmyz_mw1000000000,2,11,150,150,150,100.31301307678223,103.0039,2.690886923217775,0.026824903775526106,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p11_wmyz_mw1000000000/step_000150_sampling.json
qaoa_pps_q30_g01_p03_wmyz_mw1000000000,1,3,final,final,200,96.89213371276855,92.51995,4.37218371276856,0.04512423811131728,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p03_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g02_p03_wmyz_mw1000000000,2,3,final,final,200,97.82119178771973,92.9184,4.902791787719721,0.05011993514001746,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p03_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g03_p03_wmyz_mw1000000000,3,3,final,final,200,97.26239204406738,92.1325,5.12989204406739,0.052742811854176404,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p03_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g01_p05_wmyz_mw1000000000,1,5,final,final,200,96.76859664916992,86.7435,10.025096649169924,0.10359865696425721,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p05_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g03_p05_wmyz_mw1000000000,3,5,final,final,200,100.39388656616211,85.2996,15.094286566162111,0.15035065463089323,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p05_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g01_p07_wmyz_mw1000000000,1,7,final,final,200,99.64068222045898,97.18855,2.452132220458978,0.02460974940971939,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p07_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g02_p07_wmyz_mw1000000000,2,7,final,final,200,98.1766242980957,97.2605,0.9161242980957098,0.009331389265473854,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p07_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g03_p07_wmyz_mw1000000000,3,7,final,final,200,97.9388427734375,99.787,1.8481572265625061,0.018870523422845203,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g03_p07_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g01_p09_wmyz_mw1000000000,1,9,final,final,200,99.36836242675781,100.18705,0.8186875732421868,0.008238915820371126,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p09_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g02_p09_wmyz_mw1000000000,2,9,final,final,200,99.96116638183594,101.83175,1.870583618164062,0.01871310315666713,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p09_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g01_p11_wmyz_mw1000000000,1,11,final,final,200,100.64779663085938,99.81785,0.8299466308593679,0.008246048683045884,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g01_p11_wmyz_mw1000000000/final_sampling.json
qaoa_pps_q30_g02_p11_wmyz_mw1000000000,2,11,final,final,200,101.02497482299805,98.3395,2.685474822998046,0.026582286486120512,/home/quantum/ys_lee/Pauli-Propagation---GPU-acceleration/QAOA/artifacts/sweep_multi_graphs_minabs_only_oddneg/analysis/qaoa_pps_q30_g02_p11_wmyz_mw1000000000/final_sampling.json
