n_qubits,max_weight,yz_mean_abs_error,xyz_mean_abs_error,yz_match_rate,xyz_match_rate,delta_error_xyz_minus_yz,winner_by_error,winner_by_match_rate
8,2,0.055511183892219436,0.2892979066176296,0.16666666666666666,0.0,0.23378672272541018,yz,yz
8,4,0.02008543628017669,0.022388878872167027,0.16666666666666666,0.16666666666666666,0.002303442591990338,yz,tie
8,6,0.020558218564758497,0.020543445942088956,0.16666666666666666,0.16666666666666666,-1.477262266954063e-05,xyz,tie
8,8,0.020558218564758497,0.020558218564758497,0.16666666666666666,0.16666666666666666,0.0,tie,tie
12,2,0.5703342072260561,0.4962285524926018,0.0,0.0,-0.07410565473345432,xyz,tie
12,4,0.2765361227352615,0.11913553065312239,0.16666666666666666,0.16666666666666666,-0.15740059208213913,xyz,tie
12,6,0.24966168985665516,0.2923134908383637,0.16666666666666666,0.16666666666666666,0.042651800981708565,yz,tie
12,8,0.15381617637585082,0.1534324588755276,0.16666666666666666,0.16666666666666666,-0.00038371750032323293,xyz,tie
